NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
11,0.00046816479400749064,0.0008108852095359912,0.0009037595167640258,0.0015653574008591892
10,0.00232084554673462,0.0040718381481526485,0.004456314893358108,0.007819983048398482
9,0.0022942076489975093,0.004095393952396203,0.00440467470756037,0.007865660386211778
8,0.0038929517447973947,0.004178404978717454,0.007402423866496727,0.00787767005404749
7,0.009112375571864511,0.0050741735607394275,0.016650924409011215,0.009466220659496786
6,0.02488639237165044,0.016424862889797505,0.04134738324092768,0.028612695066571017
5,0.10503218239437051,0.03627187907925556,0.12069303014104198,0.029624088719297736
4,0.25767444293722147,0.08131061586546075,0.18372246686702495,0.057334946729630194
3,0.40542664595991407,0.08148401243873545,0.21454307768962577,0.05872043480716466
2,0.5391029431240237,0.07060201916220157,0.21401298145349715,0.03852252509336316
1,0.801326495405093,0.03851587857025372,0.1804747685700403,0.027970836197132958
