NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,-4.486195974984972e-06,7.770319361384967e-06,-8.84571560177296e-06,1.5321228851575475e-05
16,-4.486195974984972e-06,7.770319361384967e-06,-8.84571560177296e-06,1.5321228851575475e-05
15,0.0004006475864348844,0.0010769681926393684,0.0007584901073525192,0.002056451659836313
14,0.3497630353494947,0.2873156297734263,0.036343030696963895,0.01329746669932408
13,0.1802849925233415,0.2779434808955941,0.029873262481885748,0.009278081075394387
12,0.3607684085491805,0.26234725511627377,0.06574215437725847,0.011290709802292034
11,0.35476937128898633,0.2576076708069331,0.06817947502284653,0.011612555189423427
10,0.16372462334348067,0.061737779904009235,0.12479843161026516,0.053409478526809856
9,0.4708818902059906,0.008671470326880253,0.059639573431849224,0.02492049360936417
8,0.3871314031383301,0.15433594821414334,0.09390939395471515,0.03921737985520657
7,0.47040559133818194,0.006776140644843601,0.06073977042872514,0.02580805980958012
6,0.2933497771794526,0.1671358200203771,0.10457917170941204,0.07967504105217454
5,0.37413590720030737,0.08468961676725688,0.12945061347397116,0.09234131868901821
4,0.8187215532380323,0.03174822506912787,0.25819963298444626,0.02405568129274615
3,0.8173474596355672,0.036276079654253404,0.25733928441811965,0.02405367278835348
2,0.7835847062834583,0.023463017892124398,0.20761892003247373,0.026198280684075363
1,0.7287026958688417,0.009486894319346769,0.23952304562648932,0.021298024351032608
