NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
12,-4.8711578742267036e-05,8.437092929849858e-05,-9.378884061646931e-05,0.0001624470371307044
11,-5.683017519931154e-05,9.843275084824833e-05,-0.00010934895259379544,0.00018939794164689425
10,-8.930456102748957e-05,0.0001546800370472474,-0.0001713869695112932,0.0002968509389488179
9,-0.00019046894890076757,0.0002796070000561994,-0.00036403099792392014,0.0005325342453544665
8,-0.00019046894890076757,0.0002796070000561994,-0.00036403099792392014,0.0005325342453544665
7,0.003868607126551455,0.007378713735647497,0.007045589600342659,0.013506614636536516
6,0.02482144914843482,0.01071004493007151,0.04319200907483022,0.017933353125914066
5,0.02916951438784086,0.01734240464697444,0.049533061675755774,0.028782464830109378
4,0.3184737799586695,0.039563748354073815,0.24229093973419058,0.04167360907315534
3,0.6053089086664646,0.011181214005509007,0.2773915059659026,0.022192139002288724
2,0.7923004739956278,0.02999151281780116,0.25283301653910656,0.03526538493193753
1,0.44449911686711036,0.041777408918198436,0.04148888328474936,0.012414732851127734
