Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
SAVNCPP,0.0244391412254027,0.7357822386820172,0.0502119926500121,0.2691949951602233,0.0360942096274643
ABSNJZH,0.0180330464847207,0.7100136581403179,0.0087126866264394,0.2761016575008522,0.0270566201358817
R_VALUE,0.0150807651997483,0.7958960871461929,0.0374730461690338,0.1658465720199675,0.0276904334355079
TOTPOT,0.011550798164591,-0.0005386704678248,0.0003606781052818,-0.001022997662162,0.0006766053921299
TOTFX,0.0111315478963737,0.3399513949887192,0.1041056024848457,0.2340438085055091,0.071191577510051
MEANGBH,0.0071315083222797,0.145557121284224,0.0308831423478162,0.0136718618564056,0.0048542939328593
TOTFY,0.0070118386283152,0.3302397824428893,0.0960654608365149,0.3038025652200453,0.0368073656949664
MEANJZH,0.0060960483372617,0.1016426162594689,0.1512812517380286,0.015886522550672,0.0221967231115657
TOTUSJH,0.0060697752865908,0.8172404185756448,0.0453920648407103,0.2341250483568616,0.021394218382301
TOTFZ,0.0057469672542668,0.705693780066519,0.0530612667708656,0.1587910002992409,0.0245408720707313
MEANGBZ,0.00551366201619,0.4426735506875398,0.0529151228637572,0.0438592479003261,0.0131612630536718
EPSY,0.0052847994522808,0.2511519932011922,0.0437921945939465,0.0166042507610877,0.0100021822258809
TOTBSQ,0.0038386994401433,0.8042019794967462,0.0728948798422414,0.1966973358482212,0.0174929035215344
USFLUX,0.0026365597813413,0.7994786892488989,0.0591197627966717,0.1996163227892204,0.0214030797754239
MEANGBT,0.0024905052848609,0.5217351351603321,0.0668595728049126,0.0577960135366678,0.0150141900476275
MEANPOT,0.0024125014274593,-0.0014478171623815,0.0003586271375616,-0.0026465076146834,0.0006321157917802
EPSX,0.0021035295863026,0.264709208301383,0.0123518507197011,0.0166763356937515,0.0068805938632619
TOTUSJZ,0.0013856936575178,0.8040714280037919,0.0578806436092542,0.2245828083862052,0.0230224932376775
MEANJZD,0.0013663245066169,0.2174298670909483,0.0220733437372534,0.0126537296262672,0.0056392878391035
MEANALP,0.0010957783275481,4.67559600963637e-05,5.025076033500078e-05,1.86881557672952e-06,2.3773538843127782e-06
EPSZ,0.0010571858064639,0.6688935028805321,0.0315752527216065,0.1108523709143547,0.0329079501804316
SHRGT45,0.0007601518397524,0.6643060989122401,0.0349186901959564,0.1116789706507973,0.0336561758331519
MEANGAM,0.0006198440572012,0.5945389590232312,0.0298681249260008,0.0979648722060087,0.0316477597301431
MEANSHR,4.708739126618895e-07,0.6496489711287748,0.0328926925758812,0.1113244017235742,0.032955885935065
