FEATURE,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
ABSNJZH,0.7100136581403179,0.008712686626439444,0.2761016575008522,0.02705662013588176
EPSX,0.26470920830138306,0.012351850719701138,0.016676335693751525,0.006880593863261903
EPSY,0.2511519932011922,0.043792194593946565,0.016604250761087732,0.010002182225880982
EPSZ,0.6688935028805321,0.031575252721606516,0.11085237091435478,0.03290795018043166
MEANALP,4.67559600963637e-05,5.025076033500078e-05,1.86881557672952e-06,2.3773538843127782e-06
MEANGAM,0.5945389590232312,0.029868124926000807,0.09796487220600875,0.03164775973014317
MEANGBH,0.14555712128422407,0.030883142347816264,0.013671861856405619,0.004854293932859366
MEANGBT,0.5217351351603321,0.0668595728049126,0.057796013536667856,0.01501419004762756
MEANGBZ,0.44267355068753983,0.052915122863757234,0.043859247900326116,0.013161263053671832
MEANJZD,0.21742986709094833,0.02207334373725347,0.012653729626267271,0.0056392878391035685
MEANJZH,0.10164261625946898,0.1512812517380286,0.015886522550672095,0.022196723111565717
MEANPOT,-0.0014478171623815593,0.00035862713756167606,-0.0026465076146834996,0.0006321157917802448
MEANSHR,0.6496489711287748,0.032892692575881274,0.11132440172357422,0.032955885935065043
R_VALUE,0.7958960871461929,0.037473046169033825,0.16584657201996753,0.027690433435507943
SAVNCPP,0.7357822386820172,0.050211992650012124,0.2691949951602233,0.0360942096274643
SHRGT45,0.6643060989122401,0.034918690195956406,0.11167897065079739,0.03365617583315198
TOTBSQ,0.8042019794967462,0.07289487984224143,0.19669733584822127,0.01749290352153449
TOTFX,0.3399513949887192,0.10410560248484575,0.23404380850550913,0.071191577510051
TOTFY,0.3302397824428893,0.0960654608365149,0.30380256522004534,0.03680736569496649
TOTFZ,0.705693780066519,0.05306126677086567,0.15879100029924095,0.024540872070731308
TOTPOT,-0.0005386704678248861,0.00036067810528186907,-0.0010229976621620612,0.0006766053921299517
TOTUSJH,0.8172404185756448,0.04539206484071037,0.23412504835686163,0.021394218382301093
TOTUSJZ,0.8040714280037919,0.05788064360925421,0.22458280838620526,0.023022493237677594
USFLUX,0.7994786892488989,0.05911976279667171,0.19961632278922048,0.02140307977542391
