Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
ABSNJZH,0.03286385,0.7246281678250021,0.0054137478040313,0.2399791537956696,0.0330510958722753
SAVNCPP,0.031531532,0.7718493176452738,0.0395422662744885,0.2256078984884533,0.0288455299721517
TOTUSJH,0.029045643,0.7913357216623934,0.0413500466606225,0.2200974710459302,0.0198874784576175
MEANALP,0.027888446,-0.038018179279111,0.0658494181226826,-0.0086091446853992,0.014911476004823
R_VALUE,0.027777778,0.8033201712479512,0.0386352074320814,0.1887492543540237,0.0276460667065259
TOTBSQ,0.027237354,0.7660009220816528,0.0864986308889161,0.1776554542981059,0.0270623066944945
MEANJZH,0.025925926,0.0204464731379274,0.1505299935430598,0.0017027388848253,0.0119345059142025
TOTPOT,0.025547445,-0.0004158816839623,0.0002321860996491,-0.0007957611890799,0.0004391628956137
MEANPOT,0.024822695,0.0,0.0,0.0,0.0
MEANGBH,0.024734982,0.1445788799753805,0.0349773797486795,0.0127066218570445,0.0046782592846639
TOTFZ,0.023489933,0.6971185096735603,0.0495293754805849,0.1340911832078292,0.0274073076813877
TOTUSJZ,0.02295082,0.8006346363081231,0.0607539869241543,0.22709473413687,0.019968367561057
TOTFY,0.022364217,0.5264100039328737,0.0537073083179283,0.2324149239188405,0.0277401810991292
TOTFX,0.022292994,0.6953639837184155,0.0605038356732601,0.2103300363881625,0.0486660729131832
EPSY,0.022012579,0.4319623182415018,0.0236791124403563,0.033531989997954,0.0120518942449837
EPSZ,0.020958084,0.6593712003221551,0.0099617660419632,0.0924921102679546,0.0272357290876019
USFLUX,0.020895522,0.7925140467666859,0.0527816215793989,0.1793121549909173,0.0235297322397261
MEANSHR,0.020114943,0.6585173918817994,0.0151949738447035,0.0903465631146961,0.0256559834861731
MEANJZD,0.020057307,0.0004455630581092,0.0004850052429406,2.143160750786396e-05,2.1952599663527133e-05
SHRGT45,0.019283747,0.6514929387348846,0.0104253258577748,0.0906305121482712,0.0272900154162172
EPSX,0.019283747,0.6575347575472537,0.0534178941702371,0.0837630087362812,0.0169696455827853
MEANGBT,0.018867925,0.5224306650731311,0.0566922125126055,0.0569578896439374,0.0152816689693462
MEANGAM,0.018867925,0.6312964376151232,0.013840319405315,0.0857036080585558,0.0261191983453804
MEANGBZ,0.018421053,0.4384101043899007,0.04547507134081,0.0407397624287833,0.0125494401363817
