Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
SAVNCPP,0.010302689748324,0.7733661858696838,0.0360401227481269,0.2209937806667631,0.0290480919894956
ABSNJZH,0.0101131385395344,0.7292147877651471,0.005478114607299,0.2449799463365132,0.0321439438504685
R_VALUE,0.0090133902173,0.8032208858385329,0.0374952000465634,0.187999678953991,0.0278418449851005
TOTUSJH,0.0085612740888147,0.8144904822413013,0.0450231688330617,0.2284176959971372,0.0217759128610716
TOTBSQ,0.0079389070797237,0.7687881769440462,0.0813571538302056,0.1806865201423229,0.0249487161866483
MEANALP,0.0071544027435428,0.0017818396112042,0.0235548480038021,-0.0021852375179517,0.0201130750440492
MEANJZH,0.0070814405319167,0.0210672606128435,0.1519879792419002,0.0015226486133447,0.0119950516628188
TOTPOT,0.0061293815274668,-0.0003996444910482,0.0002183395788131,-0.0007652609146641,0.000413352558552
USFLUX,0.0060275605591335,0.7947292861875206,0.0516422135078289,0.1861786712572932,0.0214938413187024
TOTFZ,0.0058150635606589,0.6980075308798209,0.0501862697609272,0.1363806269419547,0.0252964427961194
MEANPOT,0.0053952870227183,6.659474434271099e-06,1.1534548071863548e-05,3.029514698096942e-07,5.247273379380591e-07
MEANGBH,0.0051489144257052,0.1440381844052177,0.0356620888880572,0.0130527259486254,0.0047107158377102
TOTUSJZ,0.0050921359993074,0.8034867874239936,0.0584125517572535,0.228251279873089,0.0226517630410531
TOTFY,0.0050554971446373,0.5102511380569528,0.0717716602518794,0.2419798552311146,0.0220830386662992
EPSY,0.005009144970549,0.4204374776055923,0.0309774146235795,0.0325931877101656,0.0148064366218963
TOTFX,0.0047254755790501,0.680436505612135,0.0718693340241635,0.2078888469636726,0.0286199945666028
EPSX,0.0046476154378448,0.6569250289168643,0.046774849480749,0.083628515058885,0.018553979581709
MEANGBT,0.0046245177927883,0.5194967936216418,0.0618773723590628,0.0568450758851365,0.0150586643201598
EPSZ,0.0045783064335163,0.6558875608584551,0.0132546373918316,0.089862862068163,0.0263265541297813
MEANJZD,0.0043734927994464,0.037286901465695,0.0005443030790802,0.0017883402618149,0.000792524903521
MEANGAM,0.0042606434486287,0.6270024126271331,0.0146494443866555,0.082294818057112,0.0257036361121364
SHRGT45,0.0040553329931251,0.6477406923410461,0.0196832845120308,0.0919545077098493,0.0284259966984512
MEANGBZ,0.0038990150346823,0.4398515806198352,0.042494572977293,0.040745153275304,0.0125490659991252
MEANSHR,0.0038545151787269,0.6590380586630012,0.0166330047601714,0.0894331026146183,0.025516825421057
