NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,-4.486195974984972e-06,7.770319361384967e-06,-8.84571560177296e-06,1.5321228851575475e-05
16,-4.486195974984972e-06,7.770319361384967e-06,-8.84571560177296e-06,1.5321228851575475e-05
15,0.0002910611229765103,0.0008131135244492564,0.0005582791255669458,0.0015622593028607765
14,0.3139659389151052,0.2677197437387984,0.03406440353711191,0.024950531563229645
13,0.3240743296900465,0.2751305606019666,0.03781419616537238,0.02670460918394416
12,0.49750263413278545,0.03008610156913049,0.049752815230708514,0.019435232743726997
11,0.49856352845770796,0.025717617134388186,0.05125744229631202,0.021256554452852686
10,0.2380699706327778,0.20601374888192528,0.07677753511388406,0.04364777136745459
9,0.4155092810995198,0.1390651779514779,0.08727840243122008,0.07296482241273379
8,0.4157005118577673,0.139232343699777,0.08732623701537383,0.0729352525772332
7,0.4118513330551923,0.14133600588222925,0.08743066231873409,0.07258907434292348
6,0.4194441705100414,0.1305342302596474,0.08909618553795645,0.07522613690983851
5,0.3625657170678301,0.10213952976480738,0.12589008752642591,0.0854580454082371
4,0.8176020620984773,0.0331590102829123,0.2616028974542281,0.02177059293632193
3,0.8177619591517905,0.0332650973058255,0.25954907509671615,0.025347625359170588
2,0.7800442739415061,0.024329495405904334,0.217206736961449,0.028948784783583596
1,0.7239110199155613,0.00723724218591042,0.24904031212023495,0.02706844575844542
