NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,-4.486195974984972e-06,7.770319361384967e-06,-8.84571560177296e-06,1.5321228851575475e-05
13,0.0006599420854757186,0.0011430532220969073,0.0012961551804821817,0.002245006627088747
12,0.17184774319150342,0.2761336174240209,0.022168737172099412,0.017531545901485632
11,0.021404747149868227,0.016697225241538206,0.027349125279835174,0.020044564888088614
10,0.038517424053429984,0.032114557638886265,0.04780875195634086,0.04248159110746808
9,0.23684753267453465,0.225305759816617,0.0784554795942919,0.051476264886907354
8,0.11608142920506977,0.033138731716672205,0.10855142877569625,0.037243506239293483
7,0.11505715849867344,0.03268050490391043,0.10840999677051448,0.03581386507017875
6,0.14221852542284838,0.03528193285567442,0.11914065290037114,0.03481572923804661
5,0.36468708609125766,0.06436823606933895,0.19005240403696586,0.03561250158290726
4,0.40536618697928956,0.15305416672337022,0.1727724383769308,0.05538140312696171
3,0.4437477308136013,0.13611553961926645,0.17624792400047232,0.041821188070844215
2,0.7808287620598087,0.028908156210113743,0.21223825682641487,0.030178285310672476
1,0.7269706715571411,0.016831203007081224,0.24679789050485668,0.04268178814079391
