NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
12,-0.0002760322795395132,0.0004781019326914919,-0.0005219328773363089,0.0009040142616871014
11,0.003237120319530489,0.006906966424948984,0.005370666737224982,0.01169920194470315
10,0.01458389151511402,0.015076924901914934,0.02372368251414737,0.025426973583242446
9,0.02298334883891549,0.018653712639608768,0.03446926653594323,0.0276494526343272
8,0.09567406307990302,0.061410159939133686,0.09230475948342605,0.05856102022051861
7,0.19495477738084407,0.056435300544328076,0.13405710146021768,0.03662579333630084
6,0.4860423474472742,0.06586182507422915,0.20224000705069858,0.022557553271667734
5,0.7144491094224911,0.10531548288876207,0.22069469389783294,0.016741981672939166
4,0.8188122013753469,0.05126791644447736,0.23479944552467935,0.0178409144515483
3,0.816756648286263,0.049913241252678174,0.22125582748310835,0.020865207210270825
2,0.7680902962950107,0.06525174638793535,0.21088337606717356,0.02204522334114376
1,0.8031350508498597,0.05805095853739534,0.22645150673984818,0.022876262071737576
