NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,-3.5618704655752684e-06,0.0004072605263774561,-9.168576455431936e-06,0.0007835492678897416
15,3.23276973343045e-05,0.0003698381283571591,5.909273983327267e-05,0.0007123621112322335
14,0.3090216455216594,0.2595635835796111,0.03030154186106868,0.0198906905469886
13,0.4663708482158186,0.01515297579445222,0.038552136980031224,0.015942126146871686
12,0.4903274400233839,0.0288492596913702,0.04262772801570131,0.01246119366477599
11,0.48565617378202136,0.02248240133977591,0.04487008238113199,0.009570664277267658
10,0.3401725296650501,0.275589083816512,0.038572583867066766,0.01636187904591995
9,0.36168977852721923,0.2537926505171245,0.05868303556920698,0.002679773973025392
8,0.432844680776993,0.13890618626199502,0.09710211165137517,0.054123493097513985
7,0.5060159720874847,0.01128974473726109,0.05687837861173898,0.016843424032330568
6,0.42941276949149393,0.14347121848632294,0.09635794524050097,0.05187750629685674
5,0.5131158394424263,0.015975221214590055,0.053333052645660656,0.018217845020538963
4,0.7913085168645907,0.04804264708666818,0.2639952724779185,0.010956103974123376
3,0.819143495737061,0.03816748777185634,0.26616899860628046,0.024520266214331485
2,0.8176273375605553,0.03689258508510499,0.24994620685731975,0.021675085122569843
1,0.803236702960592,0.06493601447319729,0.22353618420466811,0.022466217211023175
