Feature,Score
MEANJZD,20316044.01408546
USFLUX,14948983.802558422
EPSX,14744258.057744883
SAVNCPP,14194787.27336769
TOTFX,12763486.775866894
MEANGBH,12681194.222114792
EPSZ,11793183.861550385
TOTFZ,11780822.959426144
TOTBSQ,11500266.491802579
MEANGAM,11152562.227747407
MEANSHR,10986274.57215222
TOTFY,10932413.181194086
TOTUSJZ,10563524.253207285
TOTUSJH,10381586.287076395
R_VALUE,9057847.03606584
EPSY,8880730.519376392
ABSNJZH,8458835.041940968
SHRGT45,8354050.314682024
MEANJZH,7939111.638000519
MEANALP,7359042.065317747
MEANGBT,6651365.496039362
MEANGBZ,6541644.2026642915
TOTPOT,628724.3929711436
MEANPOT,550362.5740851471
