Feature,Score
ABSNJZH,0.029787234042553193
SAVNCPP,0.026415094339622643
TOTUSJH,0.020833333333333332
TOTBSQ,0.019390581717451526
TOTPOT,0.018276762402088774
TOTUSJZ,0.015350877192982457
TOTFZ,0.015053763440860214
USFLUX,0.014705882352941176
R_VALUE,0.014675052410901468
MEANSHR,0.012345679012345678
TOTFY,0.012323943661971832
SHRGT45,0.012110726643598616
TOTFX,0.011945392491467578
EPSZ,0.011235955056179775
MEANGAM,0.01098901098901099
MEANGBT,0.010835913312693497
MEANJZH,0.009943181818181818
MEANGBZ,0.009575923392612859
MEANJZD,0.009575923392612859
MEANALP,0.008684863523573201
MEANGBH,0.008526187576126675
MEANPOT,0.008073817762399077
EPSY,0.007526881720430107
EPSX,0.0073917634635691665
