Feature,Score
ABSNJZH,0.023357562691589458
MEANALP,0.022852692592369453
TOTPOT,0.022283765773147533
MEANPOT,0.02028074024178477
TOTUSJH,0.017366391845363826
SAVNCPP,0.012847177096465205
TOTBSQ,0.01202585066425668
MEANJZD,0.010491291074951198
MEANGBT,0.010098543266609666
MEANGAM,0.009027395309899539
MEANGBZ,0.008347531650358874
MEANSHR,0.007334624662475414
EPSY,0.00717208091032339
TOTFZ,0.005626660365052601
EPSX,0.004768167200507398
TOTFY,0.004452908316348419
MEANGBH,0.0022672464150586503
USFLUX,0.0022214790581542064
TOTUSJZ,0.0013097064944520322
TOTFX,-0.00023321714944978808
R_VALUE,-0.0010091469452935373
EPSZ,-0.004358614384696138
SHRGT45,-0.004393590917349393
MEANJZH,-0.01288578978936856
