Feature,Score
TOTUSJH,0.010401341108260714
ABSNJZH,0.010020465647869273
SAVNCPP,0.009150125253164375
TOTBSQ,0.008678181166130398
R_VALUE,0.007744492826443385
MEANJZH,0.007411498959157938
MEANALP,0.007330341245292453
TOTPOT,0.007061138684191689
TOTFZ,0.006197456057301326
TOTFX,0.005814967075096355
USFLUX,0.0052238547176730685
TOTUSJZ,0.005170792141518493
TOTFY,0.0051515419575136915
MEANGBH,0.004959414246416645
EPSY,0.004905046997107003
MEANPOT,0.004830346929223859
EPSZ,0.00459139387869448
MEANGAM,0.00435353892887344
SHRGT45,0.0041297699906312135
MEANGBT,0.00406927614761004
EPSX,0.0040415744605232385
MEANSHR,0.0039223618092627515
MEANGBZ,0.0038743506616401757
MEANJZD,0.0038238719675468542
