Feature,Score
SAVNCPP,0.024439141225402746
ABSNJZH,0.01803304648472071
R_VALUE,0.015080765199748323
TOTPOT,0.011550798164591045
TOTFX,0.011131547896373764
MEANGBH,0.007131508322279734
TOTFY,0.007011838628315286
MEANJZH,0.006096048337261799
TOTUSJH,0.00606977528659084
TOTFZ,0.005746967254266873
MEANGBZ,0.005513662016190026
EPSY,0.005284799452280843
TOTBSQ,0.003838699440143318
USFLUX,0.0026365597813413325
MEANGBT,0.002490505284860914
MEANPOT,0.0024125014274593358
EPSX,0.002103529586302657
TOTUSJZ,0.001385693657517857
MEANJZD,0.001366324506616933
MEANALP,0.001095778327548156
EPSZ,0.0010571858064639785
SHRGT45,0.0007601518397524681
MEANGAM,0.0006198440572012592
MEANSHR,4.708739126618895e-07
