Feature,Score
R_VALUE,1.8148461501057958
EPSZ,1.3646317816280025
MEANGAM,1.3532616027017652
TOTUSJZ,1.3030943586554804
TOTUSJH,1.2817971493501883
MEANALP,1.2069852029171442
SHRGT45,1.1966710264321896
MEANJZD,1.1341241312883443
MEANGBZ,1.0017270749670784
TOTFY,0.9861264150750637
MEANGBH,0.9520456194961965
ABSNJZH,0.8837984175883182
TOTFZ,0.79281569779082
EPSY,0.7922671541916231
MEANSHR,0.7343046612837922
SAVNCPP,0.7229334381921705
USFLUX,0.7059427782378191
EPSX,0.7007943775741052
TOTPOT,0.675048064536661
MEANJZH,0.6323676202182063
MEANGBT,0.5442948041082124
MEANPOT,0.4558441675618686
TOTBSQ,0.3920212232563884
TOTFX,0.305119019781887
