Feature,Score
ABSNJZH,0.012229655734583745
SAVNCPP,0.011310417017911101
R_VALUE,0.010730218519821321
TOTUSJH,0.00956759475137653
MEANJZH,0.0071575418340491795
TOTBSQ,0.00696077112491065
MEANALP,0.006843730385928656
TOTPOT,0.00619552803451962
MEANPOT,0.006008407624413211
MEANGBH,0.005986597321972558
TOTFX,0.005160880159449426
EPSX,0.004989084399841532
EPSZ,0.004902956448338448
TOTFZ,0.004834077338956063
EPSY,0.0047464570715696
TOTUSJZ,0.004699944845993667
USFLUX,0.00446647235196136
TOTFY,0.00427813071858893
MEANGBT,0.004195300611772036
MEANJZD,0.0038171794228526097
MEANGBZ,0.0038147512747262117
MEANSHR,0.003545943403527078
SHRGT45,0.003508455843885478
MEANGAM,0.0029070466161938446
