Feature,Score
TOTUSJZ,1.4389187368843341
TOTUSJH,1.4008239116246326
MEANGAM,0.662984397400432
MEANSHR,0.6541417401087616
TOTFY,0.6066253890344633
MEANALP,0.5752529284710354
EPSZ,0.5678493130797428
TOTFZ,0.5518186417878382
SHRGT45,0.523887391865578
ABSNJZH,0.5153374935377855
EPSY,0.5027549593347007
MEANJZH,0.4505118613216416
MEANGBH,0.43077753425982535
MEANGBT,0.4171491853547767
SAVNCPP,0.4128681341233418
R_VALUE,0.3954956297524501
MEANJZD,0.39056367625839894
EPSX,0.3804611077250665
TOTPOT,0.32838441317413364
MEANGBZ,0.32265160560970235
TOTFX,0.3083362666893307
MEANPOT,0.30023790246465837
TOTBSQ,0.2687737710090095
USFLUX,0.25195996222134887
