Feature,Score
SAVNCPP,0.01030268974832407
ABSNJZH,0.010113138539534475
R_VALUE,0.009013390217300072
TOTUSJH,0.00856127408881471
TOTBSQ,0.007938907079723759
MEANALP,0.007154402743542897
MEANJZH,0.007081440531916768
TOTPOT,0.006129381527466888
USFLUX,0.006027560559133583
TOTFZ,0.005815063560658991
MEANPOT,0.005395287022718306
MEANGBH,0.005148914425705225
TOTUSJZ,0.005092135999307432
TOTFY,0.005055497144637379
EPSY,0.005009144970549028
TOTFX,0.004725475579050138
EPSX,0.004647615437844816
MEANGBT,0.004624517792788367
EPSZ,0.004578306433516329
MEANJZD,0.004373492799446442
MEANGAM,0.004260643448628751
SHRGT45,0.00405533299312514
MEANGBZ,0.0038990150346823664
MEANSHR,0.003854515178726924
