Feature,Score
TOTUSJH,1400.9217465535928
TOTBSQ,1237.4635416373694
ABSNJZH,1201.7176298960437
SAVNCPP,1074.0433155267415
TOTUSJZ,1021.3349401954486
USFLUX,975.5294301932992
R_VALUE,852.3452925554756
TOTPOT,722.9144357757984
SHRGT45,338.62611980952823
MEANPOT,155.88837297333762
EPSZ,135.88040450683934
TOTFZ,128.8232166842065
MEANGAM,101.66139981008044
MEANSHR,94.02775515604105
TOTFX,79.67475977876731
TOTFY,43.297511845360006
MEANGBT,30.213919083813032
MEANGBZ,18.040477184130662
EPSY,9.225429166983734
EPSX,8.504377989474621
MEANGBH,8.299061512826578
MEANJZD,5.027140998244913
MEANJZH,1.2076577774126522
MEANALP,0.6184234550754255
