Feature,Score
ABSNJZH,11660.540737832534
SAVNCPP,10849.612695401971
TOTUSJH,8550.897249263307
TOTBSQ,7976.08507325249
TOTUSJZ,6360.860581031988
USFLUX,5819.977988736048
TOTPOT,5757.38506006267
TOTFZ,4363.032909213921
R_VALUE,2275.1788520258183
TOTFY,1901.7223044584057
EPSZ,1724.916898697349
MEANSHR,1588.9866958144491
SHRGT45,1540.8259229581179
MEANGAM,1216.044342367459
MEANPOT,1028.495019010025
TOTFX,1005.8702708310727
MEANGBT,762.6343201297069
MEANGBZ,445.6007018524643
MEANJZD,253.15337223493503
MEANGBH,179.16479011269809
EPSY,174.45122873315972
MEANJZH,144.72530678145495
EPSX,116.26995645454464
MEANALP,76.70431584596695
