Feature,Score
R_VALUE,0.036284782907640464
ABSNJZH,0.034607238642314075
SAVNCPP,0.03447458696549693
TOTUSJH,0.032550994253531855
TOTUSJZ,0.03183233432026474
TOTPOT,0.031190165438544217
TOTBSQ,0.030927036841847184
USFLUX,0.029329006101225352
MEANPOT,0.027229248129706413
TOTFZ,0.026470469357812703
TOTFY,0.02634644745088364
MEANJZD,0.02549863084113538
TOTFX,0.02526743450168537
SHRGT45,0.023241304952523745
EPSY,0.023111284552670548
MEANGBT,0.02267136172595206
MEANSHR,0.021817311232241905
MEANGBZ,0.02174692981925305
EPSZ,0.021544720265352337
MEANJZH,0.020817166113119186
MEANGAM,0.019625475483884176
EPSX,0.018895429999158924
MEANALP,0.01866700001665392
MEANGBH,0.01805561265270899
